subsecao_id,municipio_id,year
15270.0,15920.0,2018
15598.0,13005.0,2018
15598.0,13048.0,2018
15598.0,13064.0,2018
15598.0,13099.0,2018
15598.0,13404.0,2018
15598.0,13455.0,2018
15598.0,13510.0,2018
15598.0,13617.0,2018
15598.0,13676.0,2018
15598.0,13773.0,2018
15598.0,13811.0,2018
15598.0,13919.0,2018
15598.0,13951.0,2018
15598.0,13994.0,2018
15598.0,14010.0,2018
15598.0,14052.0,2018
15598.0,14079.0,2018
15598.0,14176.0,2018
15598.0,14230.0,2018
15598.0,14575.0,2018
15598.0,14591.0,2018
15598.0,14613.0,2018
15598.0,14656.0,2018
15598.0,14770.0,2018
15598.0,14796.0,2018
15598.0,14818.0,2018
15598.0,14990.0,2018
15598.0,15350.0,2018
15598.0,15415.0,2018
15598.0,15458.0,2018
15598.0,15474.0,2018
15598.0,15571.0,2018
15598.0,15598.0,2018
15598.0,15695.0,2018
15598.0,15733.0,2018
15598.0,15792.0,2018
15598.0,15830.0,2018
15598.0,15881.0,2018
15598.0,15890.0,2018
15598.0,15911.0,2018
15598.0,98574.0,2018
15679.0,13072.0,2018
15679.0,13102.0,2018
15679.0,13293.0,2018
15679.0,13714.0,2018
15679.0,14710.0,2018
15679.0,15075.0,2018
15679.0,15113.0,2018
15679.0,15555.0,2018
15679.0,15679.0,2018
15857.0,13170.0,2018
15857.0,13595.0,2018
15857.0,13935.0,2018
15857.0,14559.0,2018
15857.0,14958.0,2018
15857.0,15091.0,2018
15857.0,15156.0,2018
15857.0,15857.0,2018
16039.0,16039.0,2018
16039.0,16055.0,2018
16039.0,16080.0,2018
16039.0,16101.0,2018
16039.0,16128.0,2018
16039.0,16136.0,2018
16039.0,16144.0,2018
16039.0,16152.0,2018
16039.0,16250.0,2018
16039.0,16497.0,2018
16039.0,16799.0,2018
16039.0,16870.0,2018
16039.0,16918.0,2018
16039.0,17337.0,2018
16039.0,17434.0,2018
16039.0,17736.0,2018
16039.0,17930.0,2018
16039.0,17973.0,2018
16039.0,18279.0,2018
16039.0,18538.0,2018
16390.0,16004.0,2018
16390.0,16012.0,2018
16390.0,16390.0,2018
16390.0,16470.0,2018
16390.0,16535.0,2018
16390.0,16594.0,2018
16390.0,16616.0,2018
16390.0,16675.0,2018
16390.0,16756.0,2018
16390.0,16934.0,2018
16390.0,17094.0,2018
16390.0,17116.0,2018
16390.0,17191.0,2018
16390.0,17299.0,2018
16390.0,17698.0,2018
16390.0,17779.0,2018
16390.0,18252.0,2018
16390.0,18350.0,2018
16390.0,18392.0,2018
16390.0,18457.0,2018
16390.0,18570.0,2018
16390.0,18651.0,2018
16390.0,18830.0,2018
16519.0,16047.0,2018
16519.0,16063.0,2018
16519.0,16268.0,2018
16519.0,16314.0,2018
16519.0,16519.0,2018
16519.0,16896.0,2018
16519.0,16993.0,2018
16519.0,17078.0,2018
16519.0,17132.0,2018
16519.0,17493.0,2018
16519.0,17752.0,2018
16519.0,17892.0,2018
16519.0,17914.0,2018
16519.0,18015.0,2018
16519.0,18074.0,2018
16519.0,18317.0,2018
16519.0,18759.0,2018
16519.0,18856.0,2018
17590.0,16020.0,2018
17590.0,16195.0,2018
17590.0,16217.0,2018
17590.0,16225.0,2018
17590.0,16284.0,2018
17590.0,16454.0,2018
17590.0,16730.0,2018
17590.0,16837.0,2018
17590.0,16853.0,2018
17590.0,17019.0,2018
17590.0,17590.0,2018
17590.0,18899.0,2018
17590.0,30031.0,2018
