municipio_id,comarca_id,subsecao_id
7595.0,7595.0,9210.0
7609.0,8036.0,8036.0
7617.0,7617.0,9210.0
7625.0,9113.0,9210.0
7633.0,7633.0,7579.0
7641.0,9717.0,9210.0
7650.0,7650.0,7579.0
7668.0,7668.0,9210.0
7676.0,7676.0,7277.0
7684.0,8370.0,9210.0
7692.0,7692.0,9210.0
7706.0,7935.0,9210.0
7714.0,7714.0,9210.0
7722.0,7722.0,8036.0
7730.0,7730.0,9210.0
7749.0,7676.0,7277.0
7757.0,7650.0,7579.0
7765.0,7315.0,9210.0
7773.0,7773.0,7234.0
7781.0,7889.0,9210.0
7790.0,7790.0,7277.0
7803.0,8133.0,7234.0
7811.0,7811.0,9210.0
7820.0,8575.0,7579.0
7838.0,7498.0,9210.0
7846.0,8133.0,7234.0
7854.0,7854.0,7579.0
7862.0,8770.0,8036.0
7870.0,9032.0,7579.0
7889.0,7889.0,9210.0
7897.0,7897.0,7579.0
7900.0,9598.0,9210.0
7919.0,7897.0,9210.0
7927.0,7668.0,9210.0
7935.0,7935.0,7277.0
7943.0,9695.0,9210.0
7951.0,7951.0,9210.0
7960.0,8990.0,9210.0
7978.0,7978.0,9210.0
7986.0,7277.0,7277.0
7994.0,7994.0,9210.0
8001.0,9652.0,9210.0
8010.0,8010.0,7234.0
8028.0,8028.0,9210.0
8036.0,8036.0,8036.0
8044.0,9431.0,9210.0
8052.0,8052.0,7234.0
8060.0,8699.0,9210.0
8079.0,8079.0,9210.0
8087.0,7692.0,7234.0
8095.0,8095.0,8036.0
8109.0,7595.0,9210.0
8117.0,8117.0,9210.0
8125.0,9652.0,9210.0
8133.0,8133.0,7234.0
8141.0,8699.0,9210.0
8150.0,8133.0,7234.0
8168.0,9210.0,9210.0
8176.0,8176.0,7234.0
8184.0,8397.0,8036.0
8192.0,8613.0,9210.0
8206.0,9393.0,9210.0
8214.0,8214.0,7277.0
8222.0,9091.0,9210.0
8230.0,7552.0,9210.0
8249.0,8249.0,9210.0
8257.0,8257.0,9210.0
8265.0,8265.0,7277.0
8273.0,8273.0,9210.0
8281.0,9610.0,8036.0
8290.0,8290.0,9210.0
8303.0,9555.0,9210.0
8311.0,8311.0,7579.0
8320.0,8770.0,8036.0
8338.0,8338.0,7277.0
8346.0,7579.0,7579.0
8354.0,8354.0,9210.0
8362.0,8117.0,9210.0
8370.0,8370.0,9210.0
8389.0,8389.0,8036.0
8397.0,8397.0,8036.0
8400.0,9636.0,7277.0
8419.0,8419.0,9210.0
8427.0,7773.0,7234.0
8435.0,9474.0,9210.0
8443.0,7773.0,7234.0
8451.0,8591.0,7277.0
8460.0,8710.0,7234.0
8478.0,8478.0,7234.0
8486.0,7897.0,7579.0
8494.0,9210.0,9210.0
8508.0,8095.0,8036.0
8516.0,9075.0,9210.0
8524.0,7714.0,9210.0
8532.0,8532.0,7277.0
8540.0,9199.0,7579.0
8559.0,8559.0,7579.0
8567.0,8613.0,9210.0
8575.0,8575.0,7579.0
8583.0,8672.0,9210.0
8591.0,8591.0,7277.0
8605.0,8958.0,9210.0
8613.0,8613.0,9210.0
8621.0,8036.0,8036.0
8630.0,8630.0,9210.0
8656.0,7374.0,9210.0
8672.0,8672.0,9210.0
8699.0,8699.0,9210.0
8710.0,8710.0,7234.0
8737.0,7510.0,9210.0
8753.0,8753.0,7234.0
8770.0,8770.0,8036.0
8796.0,8796.0,9210.0
8818.0,8419.0,9210.0
8834.0,8834.0,9210.0
8850.0,8850.0,9210.0
8877.0,8877.0,7277.0
8893.0,9210.0,9210.0
8915.0,8915.0,9210.0
8931.0,9253.0,7277.0
8958.0,8958.0,9210.0
8974.0,8974.0,9210.0
8990.0,8990.0,9210.0
9016.0,9016.0,9210.0
9032.0,9032.0,9210.0
9059.0,9059.0,9210.0
9075.0,9075.0,9210.0
9091.0,9091.0,9210.0
9113.0,9113.0,9210.0
9130.0,8214.0,7277.0
9156.0,9156.0,7579.0
9172.0,9172.0,9210.0
9199.0,9199.0,7277.0
9210.0,9210.0,9210.0
9237.0,9237.0,7234.0
9253.0,9253.0,7277.0
9270.0,9270.0,9210.0
9296.0,9296.0,8036.0
9318.0,9318.0,7277.0
9334.0,9334.0,7277.0
9350.0,9350.0,7579.0
9377.0,9377.0,7579.0
9393.0,9393.0,9210.0
9415.0,9415.0,9210.0
9431.0,9431.0,9210.0
9458.0,9458.0,9210.0
9474.0,9474.0,9210.0
9490.0,9490.0,9210.0
9512.0,9512.0,9210.0
9539.0,9539.0,7234.0
9555.0,9555.0,9210.0
9571.0,9571.0,9210.0
9598.0,9598.0,7234.0
9610.0,9610.0,8036.0
9636.0,9636.0,8036.0
9652.0,9652.0,9210.0
9679.0,9679.0,9210.0
9695.0,9695.0,9210.0
9717.0,9717.0,9210.0
10006.0,11673.0,12190.0
