comarca_id,comarca,tribunal,estado_id,estado,n_municipios,entrancia,juizes
396,jacutinga,TJMG,13.0,MG,2.0,1.0,2.0
397,janauba,TJMG,13.0,MG,3.0,2.0,4.0
398,januaria,TJMG,13.0,MG,5.0,2.0,4.0
399,jequeri,TJMG,13.0,MG,3.0,1.0,1.0
400,jequitinhonha,TJMG,13.0,MG,3.0,1.0,1.0
401,joao monlevade,TJMG,13.0,MG,1.0,2.0,4.0
402,joao pinheiro,TJMG,13.0,MG,2.0,2.0,4.0
403,juiz de fora,TJMG,13.0,MG,4.0,3.0,37.0
404,lagoa da prata,TJMG,13.0,MG,2.0,2.0,2.0
405,lagoa santa,TJMG,13.0,MG,1.0,2.0,4.0
406,lajinha,TJMG,13.0,MG,3.0,1.0,1.0
407,lambari,TJMG,13.0,MG,3.0,1.0,2.0
408,lavras,TJMG,13.0,MG,4.0,2.0,7.0
409,leopoldina,TJMG,13.0,MG,3.0,2.0,4.0
410,lima duarte,TJMG,13.0,MG,3.0,1.0,1.0
411,luz,TJMG,13.0,MG,2.0,1.0,1.0
412,machado,TJMG,13.0,MG,2.0,1.0,2.0
413,malacacheta,TJMG,13.0,MG,3.0,1.0,1.0
414,manga,TJMG,13.0,MG,4.0,1.0,2.0
415,manhuacu,TJMG,13.0,MG,6.0,2.0,7.0
416,manhumirim,TJMG,13.0,MG,4.0,2.0,2.0
417,mantena,TJMG,13.0,MG,6.0,2.0,3.0
418,mar de espanha,TJMG,13.0,MG,3.0,1.0,1.0
419,mariana,TJMG,13.0,MG,2.0,2.0,3.0
420,martinho campos,TJMG,13.0,MG,2.0,1.0,1.0
421,mateus leme,TJMG,13.0,MG,2.0,2.0,3.0
422,matias barbosa,TJMG,13.0,MG,3.0,1.0,2.0
423,matozinhos,TJMG,13.0,MG,3.0,2.0,3.0
424,medina,TJMG,13.0,MG,2.0,1.0,2.0
425,merces,TJMG,13.0,MG,1.0,1.0,1.0
426,mesquita,TJMG,13.0,MG,3.0,1.0,1.0
427,minas novas,TJMG,13.0,MG,7.0,1.0,2.0
428,miradouro,TJMG,13.0,MG,2.0,1.0,1.0
429,mirai,TJMG,13.0,MG,2.0,1.0,1.0
430,montalvania,TJMG,13.0,MG,2.0,1.0,1.0
431,monte alegre de minas,TJMG,13.0,MG,1.0,1.0,1.0
432,monte azul,TJMG,13.0,MG,2.0,1.0,1.0
433,monte belo,TJMG,13.0,MG,1.0,1.0,1.0
434,monte carmelo,TJMG,13.0,MG,3.0,2.0,3.0
435,monte santo de minas,TJMG,13.0,MG,2.0,1.0,2.0
436,monte siao,TJMG,13.0,MG,1.0,1.0,1.0
437,montes claros,TJMG,13.0,MG,5.0,3.0,22.0
438,morada nova de minas,TJMG,13.0,MG,2.0,1.0,1.0
439,muriae,TJMG,13.0,MG,4.0,2.0,8.0
440,mutum,TJMG,13.0,MG,1.0,1.0,1.0
441,muzambinho,TJMG,13.0,MG,2.0,1.0,2.0
442,nanuque,TJMG,13.0,MG,2.0,2.0,4.0
443,natercia,TJMG,13.0,MG,2.0,1.0,1.0
444,nepomuceno,TJMG,13.0,MG,1.0,1.0,2.0
445,nova era,TJMG,13.0,MG,1.0,1.0,1.0
446,nova lima,TJMG,13.0,MG,3.0,2.0,5.0
447,nova ponte,TJMG,13.0,MG,4.0,1.0,2.0
448,nova resende,TJMG,13.0,MG,2.0,1.0,1.0
449,nova serrana,TJMG,13.0,MG,3.0,1.0,4.0
450,novo cruzeiro,TJMG,13.0,MG,2.0,1.0,1.0
451,oliveira,TJMG,13.0,MG,2.0,2.0,4.0
452,ouro branco,TJMG,13.0,MG,1.0,1.0,2.0
453,ouro fino,TJMG,13.0,MG,2.0,2.0,3.0
454,ouro preto,TJMG,13.0,MG,1.0,2.0,4.0
455,palma,TJMG,13.0,MG,2.0,1.0,1.0
456,para de minas,TJMG,13.0,MG,6.0,2.0,8.0
457,paracatu,TJMG,13.0,MG,1.0,2.0,5.0
458,paraguacu,TJMG,13.0,MG,2.0,1.0,2.0
459,paraisopolis,TJMG,13.0,MG,5.0,1.0,3.0
460,paraopeba,TJMG,13.0,MG,4.0,1.0,2.0
461,passaquatro,TJMG,13.0,MG,1.0,1.0,1.0
462,passatempo,TJMG,13.0,MG,2.0,1.0,1.0
463,passos,TJMG,13.0,MG,2.0,2.0,9.0
464,patos de minas,TJMG,13.0,MG,2.0,3.0,10.0
465,patrocinio,TJMG,13.0,MG,4.0,2.0,7.0
466,pecanha,TJMG,13.0,MG,5.0,1.0,1.0
467,pedra azul,TJMG,13.0,MG,5.0,1.0,2.0
468,pedralva,TJMG,13.0,MG,2.0,1.0,1.0
469,pedro leopoldo,TJMG,13.0,MG,2.0,2.0,5.0
470,perdizes,TJMG,13.0,MG,2.0,1.0,1.0
471,perdoes,TJMG,13.0,MG,2.0,1.0,1.0
472,piranga,TJMG,13.0,MG,4.0,1.0,1.0
473,pirapetinga,TJMG,13.0,MG,2.0,1.0,1.0
474,pirapora,TJMG,13.0,MG,3.0,2.0,4.0
475,pitangui,TJMG,13.0,MG,3.0,2.0,2.0
476,piumhi,TJMG,13.0,MG,3.0,2.0,2.0
477,poco fundo,TJMG,13.0,MG,1.0,1.0,1.0
478,pocos de caldas,TJMG,13.0,MG,1.0,3.0,11.0
479,pompeu,TJMG,13.0,MG,1.0,1.0,2.0
480,ponte nova,TJMG,13.0,MG,8.0,2.0,5.0
481,porteirinha,TJMG,13.0,MG,4.0,1.0,2.0
