name,ll
bar,-9.10955739156843
marcelino,-9.10955739156843
netto,-9.110731789824369
almir,-9.11190756891338
gilmar,-9.113084732086401
alfredo,-9.11780729104057
colegio,-9.11780729104057
fomento,-9.11899142380179
publicos,-9.12374202656038
mercearia,-9.12612581791566
aco,-9.128515305313039
celia,-9.129712193546892
bv,-9.129712193546892
marisa,-9.1321102762309
v,-9.13331147757654
dalva,-9.13331147757654
padua,-9.13331147757654
comunicacao,-9.134514123542301
abn,-9.1357182176071
joana,-9.13692376326245
gabriela,-9.13813076401248
daniela,-9.14054914487677
bom,-9.14297338848827
g,-9.14297338848827
c,-9.14297338848827
importadora,-9.14540352334156
rg,-9.14662080894532
qualicorp,-9.14662080894532
kelly,-9.15150482353774
amro,-9.152729563433642
ventura,-9.153955805156881
nilson,-9.153955805156881
hospitalares,-9.155183552395199
cleber,-9.156412808849929
tam,-9.16010967073126
valle,-9.162581859876651
universo,-9.162581859876651
marilene,-9.1638202501278
nome,-9.1638202501278
arthur,-9.168789204450981
madalena,-9.17003531053123
nilza,-9.17003531053123
william,-9.171282971329381
n,-9.171282971329381
valdir,-9.17253219072982
patricia,-9.173782972631471
tadeu,-9.17754473255336
tres,-9.17754473255336
me,-9.17880180374341
hotel,-9.17880180374341
loureiro,-9.181320696762901
pereira,-9.18258252658332
mrv,-9.18637759755187
senhora,-9.191460200615339
arnaldo,-9.19273489804734
clinica,-9.195289177852429
salvador,-9.19656876855806
catarina,-9.19656876855806
janaina,-9.199132872527
tenda,-9.199132872527
concessionaria,-9.20041739421935
costa,-9.2017035680301
solucoes,-9.2042808890444
castilho,-9.20686486981032
carioca,-9.208159368372971
cartoes,-9.208159368372971
fundacao,-9.210753403550019
goytacazes,-9.210753403550019
suely,-9.214657117030491
osasco,-9.21596174865715
estacio,-9.21857612923122
dr,-9.221197362711099
saae,-9.221197362711099
tnl,-9.221197362711099
audiencia,-9.221197362711099
citicard,-9.22251056053606
claudia,-9.223825485117368
cereais,-9.226460532755368
alvaro,-9.227780664960301
avista,-9.227780664960301
elisangela,-9.229102542218211
osvaldo,-9.230426169148721
humberto,-9.230426169148721
roque,-9.237070711867391
julia,-9.23840493488052
jonas,-9.23974094042327
ademir,-9.23974094042327
praia,-9.24107873326493
cecilia,-9.24241831819398
henriques,-9.24241831819398
guerra,-9.24375970001818
neide,-9.24375970001818
distribuicao,-9.24375970001818
fls,-9.24644787367999
novo,-9.24914329310166
petrobras,-9.25184599744954
urbano,-9.25184599744954
marly,-9.25320009379727
acessorios,-9.25320009379727
valter,-9.25320009379727
logistica,-9.25320009379727
jane,-9.25455602620841
bianca,-9.25455602620841
irene,-9.25455602620841
cruzeiro,-9.25455602620841
sistema,-9.25591379966887
seguranca,-9.25727341918491
hermes,-9.25727341918491
ferro,-9.258634889783231
ferreira,-9.26273045864797
bazar,-9.26409938425531
creditorios,-9.26409938425531
publicos,-9.26409938425531
