classe_id,classe,classe_accents,classe_sigla
149,CRIMES DE IMPRENSA,Crimes de Imprensa,CriImp
154,CUMPRIMENTO PROVISORIO DE SENTENCA,Cumprimento Provisório de Sentença,CuPrSe
151,CUMPRIMENTO DE SENTENCA,Cumprimento de sentença,CumSen
31,ACOMPANHAMENTO DE CUMPRIMENTO DE DECISAO,Acompanhamento de Cumprimento de Decisão,Cumprdec
172,DISSIDIO COLETIVO,Dissídio Coletivo,DC
173,DISSIDIO COLETIVO DE GREVE,Dissídio Coletivo de Greve,DCG
169,DESPEJO POR FALTA DE PAGAMENTO CUMULADO COM COBRANCA,Despejo por Falta de Pagamento Cumulado Com Cobrança,DFPCC
163,DESAPROPRIACAO IMOVEL RURAL POR INTERESSE SOCIAL,Desapropriação Imóvel Rural por Interesse Social,DIRIS
168,DESPEJO POR FALTA DE PAGAMENTO,Despejo por Falta de Pagamento,DeFaPa
155,DECLARACAO DE AUSENCIA,Declaração de Ausência,DecAus
157,DEMARCACAO DIVISAO,Demarcação / Divisão,DemDiv
158,DENUNCIA,Denúncia,Den
159,DEPOSITO,Depósito,Deposi
161,DESAFORAMENTO DE JULGAMENTO,Desaforamento de Julgamento,DesJul
162,DESAPROPRIACAO,Desapropriação,Desapr
167,DESPEJO,Despejo,Despej
174,DISSOLUCAO E LIQUIDACAO DE SOCIEDADE,Dissolução e Liquidação de Sociedade,DiLiSo
171,DISCRIMINATORIA,Discriminatória,Discri
175,DISSOLUCAO PARCIAL DE SOCIEDADE,Dissolução Parcial de Sociedade,DissParcSocied
176,DIVORCIO CONSENSUAL,Divórcio Consensual,DivCon
177,DIVORCIO LITIGIOSO,Divórcio Litigioso,DivLit
178,DUVIDA,Dúvida,Duvida
181,EMBARGOS,Embargos,E
202,EMBARGOS INFRINGENTES EM APELACAO CIVEL,Embargos Infringentes em Apelação Cível,EAC
201,EMBARGOS INFRINGENTES EM ACAO RESCISORIA,Embargos Infringentes em Ação Rescisória,EAR
191,EMBARGOS DE DIVERGENCIA EM AGRAVO EM RECURSO ESPECIAL,Embargos de Divergência em Agravo em Recurso Especial,EARESP
182,EMBARGOS A ADJUDICACAO,Embargos à Adjudicação,EAdj
198,EMBARGOS EM AGRAVO DE INSTRUMENTO,Embargos em Agravo de Instrumento,EAg
183,EMBARGOS A ARREMATACAO,Embargos à Arrematação,EArr
425,PROCESSO DE EXECUCAO TRABALHISTA,Processo de Execução Trabalhista,ECFP
218,EXECUCAO CONTRA A FAZENDA PUBLICA,Execução Contra a Fazenda Pública,ECFP
189,EMBARGOS DE DECLARACAO,Embargos de Declaração,ED
190,EMBARGOS DE DIVERGENCIA,Embargos de Divergência,EDv
184,EMBARGOS A EXECUCAO,Embargos à Execução,EE
188,EMBARGOS A EXECUCAO FISCAL,Embargos à Execução Fiscal,EEFis
199,EMBARGOS INFRINGENTES,Embargos Infringentes,EI
203,EMBARGOS INFRINGENTES NA EXECUCAO FISCAL,Embargos Infringentes na Execução Fiscal,EIfEFis
200,EMBARGOS INFRINGENTES E DE NULIDADE,Embargos Infringentes e de Nulidade,EIfNu
205,EMBARGOS REMETIDOS,Embargos Remetidos,ER
192,EMBARGOS DE DIVERGENCIA EM RECURSO DE MANDADO DE SEGURANCA,Embargos de Divergência em Recurso de Mandado de Segurança,ERMS
193,EMBARGOS DE DIVERGENCIA EM RECURSO ESPECIAL,Embargos de Divergência em Recurso Especial,EResp
179,EFEITO SUSPENSIVO,Efeito Suspensivo,ES
195,EMBARGOS DE TERCEIRO,Embargos de Terceiro,ET
208,EXCECAO DA VERDADE,Exceção da Verdade,EV
194,EMBARGOS DE RETENCAO POR BENFEITORIAS,Embargos de Retenção por Benfeitorias,EmReBe
180,EMANCIPACAO,Emancipação,Emanci
196,EMBARGOS DO ACUSADO,Embargos do Acusado,EmbAc
186,EMBARGOS A EXECUCAO EM MANDADO DE SEGURANCA,Embargos à Execução em Mandado de Segurança,EmbExeMS
185,EMBARGOS A EXECUCAO EM ACAO RECISORIA,Embargos à Execução em Ação Recisoria,EmbExeXAr
187,EMBARGOS A EXECUCAO EM MEDIDA CAUTELAR,Embargos à Execução em Medida Cautelar,EmbExecMC
204,EMBARGOS PARCIAIS A ACAO MONITORIA,Embargos Parciais à Ação Monitória,EmbParcMonit
206,ESPECIALIZACAO DE HIPOTECA LEGAL,Especialização de Hipoteca Legal,EsHiLe
231,EXECUCAO EM ACAO RESCISORIA,Execução em Ação Rescisória,ExAR
222,EXECUCAO DE CERTIDAO DE CREDITO JUDICIAL,Execução de Certidão de Crédito Judicial,ExCCJ
227,EXECUCAO DE TERMO DE CONCILIACAO DE CCP,Execução de Termo de Conciliação de CCP,ExCCP
220,EXECUCAO DA PENA,Execução da Pena,ExCr
241,EXIBICAO DE DOCUMENTO OU COISA,Exibição de Documento ou Coisa,ExDoCo
236,EXECUCAO FISCAL,Execução Fiscal,ExFis
237,EXECUCAO HIPOTECARIA DO SISTEMA FINANCEIRO DA HABITACAO,Execução Hipotecária do Sistema Financeiro da Habitação,ExHipSFH
224,EXECUCAO DE MEDIDAS SOCIOEDUCATIVAS,Execução de Medidas Sócio-Educativas,ExMeSo
239,EXECUCAO PROVISORIA EM AUTOS SUPLEMENTARES,Execução Provisória em Autos Suplementares,ExProvAS
226,EXECUCAO DE TERMO DE AJUSTE DE CONDUTA,Execução de Termo de Ajuste de Conduta,ExTAC
229,EXECUCAO DE TITULO EXTRAJUDICIAL,Execução de Título Extrajudicial,ExTiEx
230,EXECUCAO DE TITULO JUDICIAL,Execução de Título Judicial,ExTiJu
217,EXCESSO OU DESVIO,Excesso ou Desvio,ExcDes
212,EXCECAO DE INCOMPETENCIA,Exceção de Incompetência,ExcInc
216,EXCECOES,Exceções,Exceco
221,EXECUCAO DE ALIMENTOS,Execução de Alimentos,ExeAli
219,EXECUCAO CRIMINAL,Execução Criminal,ExeCri
233,EXECUCAO EM MEDIDA CAUTELAR,Execução em Medida Cautelar,ExeMC
232,EXECUCAO EM MANDADO DE SEGURANCA,Execução em Mandado de Segurança,ExeMS
225,EXECUCAO DE MULTA,Execução de Multa,ExeMul
234,EXECUCAO EM SENTENCA ESTRANGEIRA,Execução em Sentença Estrangeira,ExeSE
235,EXECUCAO EM SENTENCA ESTRANGEIRA CONTESTADA,Execução em Sentença Estrangeira Contestada,ExeSEC
240,EXIBICAO,Exibição,Exibic
242,EXPROPRIACAO DA LEI 825791,Expropriação da Lei 8.257/91,Exprop
363,PEDIDO DE PRISAO LIBERDADE VIGIADA PARA FINS DE EXPULSAO,Pedido de Prisão/ Liberdade Vigiada para Fins de Expulsão,Expuls
244,EXTRADICAO,Extradição,Extrad
246,FALENCIA DE EMPRESARIOS SOCIEDADES EMPRESARIAIS MICROEMPRESAS E EMPRESAS DE PEQUENO PORTE,"Falência de Empresários, Sociedades Empresáriais, Microempresas e Empresas de Pequeno Porte",FESEMEPP
269,INCIDENTE DE FALSIDADE,Incidente de Falsidade,Falsid
247,GUARDA,Guarda,Guarda
248,HABEAS CORPUS,Habeas Corpus,HC
249,HABEAS DATA,Habeas Data,HD
253,HABILITACAO PARA CASAMENTO,Habilitação para Casamento,HabCas
251,HABILITACAO DE CREDITO,Habilitação de Crédito,HabCre
250,HABILITACAO,Habilitação,Habili
254,HERANCA JACENTE,Herança Jacente,HerJac
79,ARRESTO HIPOTECA LEGAL,Arresto / Hipoteca Legal,HipLeg
255,HOMOLOGACAO DE TRANSACAO EXTRAJUDICIAL,Homologação de Transação Extrajudicial,HoTrEx
256,HOMOLOGACAO DO PENHOR LEGAL,Homologação do Penhor Legal,HomPen
281,INQUERITO ADMINISTRATIVO,Inquérito Administrativo,IA
266,INCIDENTE DE ASSUNCAO DE COMPETENCIA,Incidente de Assunção de Competência,IAC
284,INQUERITO PARA APURACAO DE FALTA GRAVE,Inquérito para Apuração de Falta Grave,IAFG
268,INCIDENTE DE DESLOCAMENTO DE COMPETENCIA,Incidente de Deslocamento de Competência ,IDC
267,INCIDENTE DE DESCONSIDERACAO DE PERSONALIDADE JURIDICA,Incidente de Desconsideração de Personalidade Jurídica,IDPJ
307,INTERVENCAO FEDERAL,Intervenção Federal,IF
304,INTERPELACAO JUDICIAL,Interpelação Judicial,IJ
285,INQUERITO POLICIAL,Inquérito Policial,IP
261,IMPUGNACAO AO PEDIDO DE ASSISTENCIA LITISCONSORCIAL OU SIMPLES,Impugnação ao Pedido de Assistência Litisconsorcial ou Simples,IPALS
286,INQUERITO POLICIAL ESPECIAL,Inquérito Policial Especial,IPE
287,INQUERITO POLICIAL MILITAR,Inquérito Policial Militar,IPM
290,INSOLVENCIA REQUERIDA PELO CREDOR,Insolvência Requerida pelo Credor,IRPC
291,INSOLVENCIA REQUERIDA PELO DEVEDOR OU PELO ESPOLIO,Insolvência Requerida pelo Devedor ou pelo Espólio,IRPDPE
276,INCIDENTE DE UNIFORMIZACAO DE JURISPRUDENCIA,Incidente de Uniformização de Jurisprudência,IUJ
262,IMPUGNACAO AO VALOR DA CAUSA,Impugnação ao Valor da Causa,IVC
210,EXCECAO DE ILEGITIMIDADE DE PARTE,Exceção de Ilegitimidade de Parte,IlePar
260,IMPUGNACAO AO CUMPRIMENTO DE SENTENCA,Impugnação ao Cumprimento de Sentença,ImCuSe
258,IMISSAO NA POSSE,Imissão na Posse,ImiPos
